Revenue type,Date,Planned revenue volume,Actual revenue volume,Revenue completion rate,global_id,Quarter
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации",2024-07-01,65.3,28.4,43.5,2696369657,2024Q3
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете",2024-07-01,5.2,7.7,146.3,2696369655,2024Q3
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ",2024-07-01,65.3,28.4,43.5,2696369654,2024Q3
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-07-01,104.8,65.9,62.9,2696369653,2024Q3
"Платежи, уплачиваемые в целях возмещения вреда",2024-07-01,0.04,0.02,34.6,2696369652,2024Q3
Налоговые доходы,2024-07-01,3981.5,2070.5,52.0,2696369639,2024Q3
Доходы от размещения средств бюджетов,2024-07-01,73.0,63.8,87.4,2696369650,2024Q3
Платежи в целях возмещения причиненного ущерба (убытков),2024-07-01,0.1,0.04,71.9,2696369649,2024Q3
Налог на доходы физических лиц,2024-07-01,1904.1,894.2,47.0,2696369651,2024Q3
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации",2024-07-01,4.1,1.6,40.0,2696369646,2024Q3
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ",2024-07-01,188.0,134.0,71.3,2696369645,2024Q3
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ",2024-07-01,3362.3,1745.4,51.9,2696369644,2024Q3
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях",2024-07-01,11.8,5.3,44.9,2696369643,2024Q3
Неналоговые доходы,2024-07-01,308.1,242.3,78.6,2696369642,2024Q3
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию",2024-07-01,0.1,0.03,56.2,2696369641,2024Q3
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения",2024-07-01,0.0,-0.0002,0.0,2696369640,2024Q3
Налог на прибыль организаций,2024-07-01,1458.2,851.2,58.4,2696369648,2024Q3
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-10-01,8.2,5.8,70.2,2703817723,2024Q4
Невыясненные поступления,2024-10-01,0.0,0.001,0.0,2703817722,2024Q4
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление",2024-10-01,0.1,0.1,73.3,2703817721,2024Q4
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»",2024-10-01,0.3,0.5,152.9,2703817720,2024Q4
ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ,2024-10-01,39.9,72.0,180.5,2703817719,2024Q4
Платежи от государственных и муниципальных унитарных предприятий,2024-10-01,0.3,0.5,167.0,2703817718,2024Q4
"Налог, взимаемый в связи с применением патентной системы налогообложения",2024-10-01,9.7,9.5,97.6,2703817710,2024Q4
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности",2024-10-01,0.004,0.1,1725.5,2703817716,2024Q4
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете",2024-10-01,5.2,11.6,221.4,2703817715,2024Q4
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-10-01,104.8,101.2,96.6,2703817714,2024Q4
"Платежи, уплачиваемые в целях возмещения вреда",2024-10-01,0.04,0.03,69.6,2703817713,2024Q4
Торговый сбор,2024-10-01,8.5,7.4,87.3,2703817712,2024Q4
Доходы от размещения средств бюджетов,2024-10-01,73.0,107.4,147.2,2703817711,2024Q4
Прочие неналоговые доходы,2024-10-01,39.9,72.0,180.5,2703817724,2024Q4
Налог на профессиональный доход,2024-10-01,11.1,10.4,94.5,2703817717,2024Q4
НАЛОГИ НА ИМУЩЕСТВО,2024-10-01,281.4,196.8,69.9,2703817725,2024Q4
ГОСУДАРСТВЕННАЯ ПОШЛИНА,2024-10-01,4.8,4.2,88.1,2703817742,2024Q4
ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ,2024-10-01,0.2,0.1,76.9,2703817727,2024Q4
Платежи в целях возмещения причиненного ущерба (убытков),2024-10-01,0.1,0.8,1286.4,2703817709,2024Q4
Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов,2024-10-01,0.01,0.01,129.6,2703817741,2024Q4
Налог на добычу полезных ископаемых,2024-10-01,0.0,0.003,0.0,2703817740,2024Q4
Доходы от компенсации затрат государства,2024-10-01,13.0,11.5,88.5,2703817739,2024Q4
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ",2024-10-01,0.01,0.01,168.1,2703817738,2024Q4
Земельный налог,2024-10-01,28.1,19.3,68.5,2703817737,2024Q4
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации",2024-10-01,0.001,0.001,116.9,2703817726,2024Q4
Доходы от оказания платных услуг (работ),2024-10-01,1.4,1.3,94.1,2703817736,2024Q4
ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА,2024-10-01,14.4,12.9,89.1,2703817734,2024Q4
Платежи при пользовании недрами,2024-10-01,0.01,0.01,145.1,2703817732,2024Q4
Налог на имущество организаций,2024-10-01,187.4,154.7,82.6,2703817731,2024Q4
Плата за негативное воздействие на окружающую среду,2024-10-01,0.2,0.1,73.5,2703817730,2024Q4
Безвозмездные поступления,2024-10-01,41.7,73.1,175.1,2703817729,2024Q4
Налог на имущество физических лиц,2024-10-01,32.2,8.2,25.4,2703817728,2024Q4
Налог на игорный бизнес,2024-10-01,0.4,0.2,46.2,2703817735,2024Q4
Транспортный налог,2024-10-01,33.3,14.4,43.3,2703817733,2024Q4
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации",2024-10-01,4.1,2.5,61.7,2703817708,2024Q4
Единый сельскохозяйственный налог,2024-10-01,0.1,0.1,136.8,2703817706,2024Q4
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности",2024-10-01,4.4,15.4,348.6,2703817686,2024Q4
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ",2024-10-01,0.0,-0.001,0.0,2703817685,2024Q4
Налог на прибыль организаций,2024-10-01,1458.2,1163.5,79.8,2703817684,2024Q4
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности",2024-10-01,2.3,4.8,204.5,2703817683,2024Q4
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий",2024-10-01,1.9,1.3,67.1,2703817682,2024Q4
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-10-01,8.1,10.8,134.4,2703817680,2024Q4
Налог на доходы физических лиц,2024-10-01,1904.1,1454.5,76.4,2703817687,2024Q4
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации",2024-10-01,0.4,0.4,93.0,2703817679,2024Q4
Налоговые доходы,2024-10-01,3981.5,3105.3,78.0,2703817677,2024Q4
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)",2024-10-01,0.1,0.02,42.8,2703817676,2024Q4
ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ,2024-10-01,19.0,34.3,180.8,2703817675,2024Q4
"Доходы, всего",2024-10-01,4331.4,3562.3,82.2,2703817674,2024Q4
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями",2024-10-01,2.4,2.5,105.2,2703817673,2024Q4
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям",2024-10-01,1.6,2.3,142.1,2703817707,2024Q4
Доходы от продажи квартир,2024-10-01,4.2,3.3,79.2,2703817678,2024Q4
Платежи за пользование природными ресурсами,2024-10-01,0.0,1e-06,0.0,2703817688,2024Q4
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ",2024-10-01,3362.3,2618.0,77.9,2703817681,2024Q4
Налоги на имущество,2024-10-01,0.0,-0.0004,0.0,2703817690,2024Q4
АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ,2024-10-01,0.2,0.3,152.4,2703817689,2024Q4
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях",2024-10-01,11.8,8.4,71.2,2703817704,2024Q4
Единый налог на вмененный доход для отдельных видов деятельности,2024-10-01,0.0,3e-05,0.0,2703817703,2024Q4
Неналоговые доходы,2024-10-01,308.1,384.0,124.6,2703817702,2024Q4
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию",2024-10-01,0.1,0.05,83.9,2703817701,2024Q4
"Налог, взимаемый в связи с применением упрощенной системы налогообложения",2024-10-01,238.1,215.9,90.7,2703817700,2024Q4
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения",2024-10-01,0.0,-0.0002,0.0,2703817699,2024Q4
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях",2024-10-01,25.1,23.6,94.2,2703817698,2024Q4
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ",2024-10-01,188.0,217.3,115.6,2703817705,2024Q4
Прочие налоги и сборы (по отмененным местным налогам и сборам),2024-10-01,0.0,-1e-05,0.0,2703817696,2024Q4
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА",2024-10-01,46.5,47.1,101.3,2703817695,2024Q4
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации",2024-10-01,65.3,42.3,64.9,2703817694,2024Q4
Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации),2024-10-01,0.0,-0.0003,0.0,2703817693,2024Q4
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций",2024-10-01,0.2,0.3,152.4,2703817692,2024Q4
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ",2024-10-01,65.3,42.3,64.9,2703817691,2024Q4
НАЛОГИ НА СОВОКУПНЫЙ ДОХОД,2024-10-01,267.7,243.8,91.1,2703817697,2024Q4
НАЛОГИ НА ИМУЩЕСТВО,2025-01-01,281.4,303.0,107.7,2724176442,2025Q1
Прочие неналоговые доходы,2025-01-01,39.9,91.2,228.7,2724176441,2025Q1
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»",2025-01-01,0.3,0.7,219.8,2724176440,2025Q1
Платежи от государственных и муниципальных унитарных предприятий,2025-01-01,0.3,0.5,167.0,2724176439,2025Q1
Невыясненные поступления,2025-01-01,0.0,0.01,0.0,2724176438,2025Q1
Налог на профессиональный доход,2025-01-01,11.1,15.1,136.8,2724176437,2025Q1
ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ,2025-01-01,39.9,91.2,228.7,2724176436,2025Q1
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете",2025-01-01,5.2,18.1,343.9,2724176432,2025Q1
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности",2025-01-01,0.004,0.03,585.1,2724176434,2025Q1
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-01-01,104.8,147.4,140.6,2724176433,2025Q1
"Налог, взимаемый в связи с применением патентной системы налогообложения",2025-01-01,9.7,9.4,97.3,2724176431,2025Q1
Доходы от размещения средств бюджетов,2025-01-01,73.0,206.4,283.0,2724176430,2025Q1
"Платежи, уплачиваемые в целях возмещения вреда",2025-01-01,0.04,0.1,118.5,2724176429,2025Q1
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям",2025-01-01,1.6,2.5,152.6,2724176428,2025Q1
Торговый сбор,2025-01-01,8.5,10.0,117.3,2724176435,2025Q1
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление",2025-01-01,0.1,0.1,73.3,2724176444,2025Q1
Единый сельскохозяйственный налог,2025-01-01,0.1,0.1,132.4,2724176427,2025Q1
Налог на имущество физических лиц,2025-01-01,32.2,33.6,104.3,2724176446,2025Q1
Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов,2025-01-01,0.01,0.01,183.5,2724176461,2025Q1
Доходы от компенсации затрат государства,2025-01-01,13.0,18.2,139.6,2724176460,2025Q1
Налог на добычу полезных ископаемых,2025-01-01,0.0,0.01,0.0,2724176459,2025Q1
Доходы от оказания платных услуг (работ),2025-01-01,1.4,1.8,127.9,2724176458,2025Q1
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ",2025-01-01,0.01,0.02,254.5,2724176457,2025Q1
ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА,2025-01-01,14.4,20.0,138.5,2724176456,2025Q1
Земельный налог,2025-01-01,28.1,27.1,96.2,2724176455,2025Q1
Платежи при пользовании недрами,2025-01-01,0.01,0.01,178.5,2724176454,2025Q1
Налог на игорный бизнес,2025-01-01,0.4,0.2,63.2,2724176453,2025Q1
Плата за негативное воздействие на окружающую среду,2025-01-01,0.2,0.2,95.0,2724176452,2025Q1
Безвозмездные поступления,2025-01-01,52.8,94.3,178.4,2724176451,2025Q1
Транспортный налог,2025-01-01,33.3,35.2,105.6,2724176450,2025Q1
ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ,2025-01-01,0.2,0.2,98.9,2724176449,2025Q1
Налог на имущество организаций,2025-01-01,187.4,206.9,110.4,2724176448,2025Q1
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации",2025-01-01,0.001,0.001,185.7,2724176447,2025Q1
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-01-01,8.2,8.8,107.5,2724176445,2025Q1
Платежи в целях возмещения причиненного ущерба (убытков),2025-01-01,0.1,0.8,1363.5,2724176426,2025Q1
ГОСУДАРСТВЕННАЯ ПОШЛИНА,2025-01-01,4.8,6.9,143.5,2724176462,2025Q1
"Налог, взимаемый в связи с применением упрощенной системы налогообложения",2025-01-01,238.1,283.8,119.2,2724176424,2025Q1
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ",2025-01-01,0.0,-0.001,0.0,2724176404,2025Q1
"Плата за увеличение площади земельных участков, находящихся в частной собственности, в результате перераспределения таких земельных участков и земель (или) земельных участков, находящихся в государственной или муниципальной собственности",2025-01-01,0.0,0.01,0.0,2724176403,2025Q1
Налог на прибыль организаций,2025-01-01,1458.2,1599.2,109.7,2724176402,2025Q1
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности",2025-01-01,2.3,7.7,332.8,2724176401,2025Q1
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий",2025-01-01,1.9,1.8,94.2,2724176400,2025Q1
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ",2025-01-01,3362.3,3795.0,112.9,2724176399,2025Q1
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности",2025-01-01,4.4,18.8,425.3,2724176405,2025Q1
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-01-01,8.1,12.7,157.5,2724176398,2025Q1
Налоговые доходы,2025-01-01,3981.5,4487.9,112.7,2724176396,2025Q1
Доходы от продажи квартир,2025-01-01,4.2,4.7,113.4,2724176395,2025Q1
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)",2025-01-01,0.1,0.03,57.9,2724176394,2025Q1
"Доходы, всего",2025-01-01,4342.5,5170.2,119.1,2724176393,2025Q1
ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ,2025-01-01,19.0,43.9,231.7,2724176392,2025Q1
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями",2025-01-01,2.4,4.6,190.9,2724176391,2025Q1
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации",2025-01-01,0.4,0.5,112.0,2724176397,2025Q1
Налог на доходы физических лиц,2025-01-01,1904.1,2195.7,115.3,2724176406,2025Q1
Единый налог на вмененный доход для отдельных видов деятельности,2025-01-01,0.0,0.0001,0.0,2724176425,2025Q1
Платежи за пользование природными ресурсами,2025-01-01,0.0,1e-06,0.0,2724176408,2025Q1
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ",2025-01-01,188.0,365.7,194.5,2724176423,2025Q1
НАЛОГИ НА СОВОКУПНЫЙ ДОХОД,2025-01-01,267.7,319.2,119.2,2724176422,2025Q1
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации",2025-01-01,4.1,3.7,88.8,2724176421,2025Q1
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации",2025-01-01,65.3,63.8,97.7,2724176420,2025Q1
АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ,2025-01-01,0.2,0.4,191.5,2724176407,2025Q1
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения",2025-01-01,0.0,-0.0002,0.0,2724176418,2025Q1
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях",2025-01-01,11.8,12.7,107.4,2724176417,2025Q1
Неналоговые доходы,2025-01-01,308.1,588.0,190.8,2724176419,2025Q1
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию",2025-01-01,0.1,0.1,122.4,2724176415,2025Q1
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ",2025-01-01,65.3,63.8,97.7,2724176414,2025Q1
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях",2025-01-01,25.1,31.2,124.3,2724176413,2025Q1
Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации),2025-01-01,0.0,-0.0003,0.0,2724176412,2025Q1
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА",2025-01-01,46.5,66.5,143.2,2724176411,2025Q1
Налоги на имущество,2025-01-01,0.0,-0.0001,0.0,2724176410,2025Q1
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций",2025-01-01,0.2,0.4,191.5,2724176409,2025Q1
Прочие налоги и сборы (по отмененным местным налогам и сборам),2025-01-01,0.0,-1e-05,0.0,2724176416,2025Q1
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации",2025-04-01,0.001,0.0002,26.9,2755747661,2025Q2
Налог на имущество организаций,2025-04-01,207.6,55.2,26.6,2755747660,2025Q2
Платежи от государственных и муниципальных унитарных предприятий,2025-04-01,0.1,0.2,177.9,2755747659,2025Q2
Налог на имущество физических лиц,2025-04-01,36.2,1.7,4.6,2755747658,2025Q2
Прочие неналоговые доходы,2025-04-01,57.7,10.8,18.7,2755747657,2025Q2
Невыясненные поступления,2025-04-01,0.0,-0.005,0.0,2755747656,2025Q2
"Платежи, уплачиваемые в целях возмещения вреда",2025-04-01,0.03,0.01,24.6,2755747648,2025Q2
НАЛОГИ НА ИМУЩЕСТВО,2025-04-01,307.7,68.6,22.3,2755747654,2025Q2
ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ,2025-04-01,57.7,10.8,18.7,2755747653,2025Q2
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-04-01,135.0,28.6,21.2,2755747652,2025Q2
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»",2025-04-01,0.7,0.2,31.5,2755747651,2025Q2
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете",2025-04-01,16.1,5.6,35.1,2755747650,2025Q2
Доходы от размещения средств бюджетов,2025-04-01,141.5,55.7,39.4,2755747649,2025Q2
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2025-04-01,11.5,3.8,33.1,2755747663,2025Q2
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности",2025-04-01,0.01,0.001,10.2,2755747655,2025Q2
Транспортный налог,2025-04-01,34.3,3.7,10.9,2755747664,2025Q2
Налог на добычу полезных ископаемых,2025-04-01,0.0,0.1,0.0,2755747672,2025Q2
ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ,2025-04-01,0.2,0.04,26.9,2755747666,2025Q2
Налог на профессиональный доход,2025-04-01,17.4,4.7,27.3,2755747646,2025Q2
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям",2025-04-01,2.0,0.0,0.0,2755751118,2025Q2
Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации),2025-04-01,0.0,0.0,0.0,2755751116,2025Q2
ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ,2025-04-01,36.4,9.1,25.1,2755747678,2025Q2
Доходы от компенсации затрат государства,2025-04-01,13.8,3.1,22.5,2755747677,2025Q2
ГОСУДАРСТВЕННАЯ ПОШЛИНА,2025-04-01,5.9,2.8,46.6,2755747676,2025Q2
Безвозмездные поступления,2025-04-01,39.2,45.3,115.6,2755747665,2025Q2
Доходы от оказания платных услуг (работ),2025-04-01,1.6,0.3,20.4,2755747675,2025Q2
ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА,2025-04-01,15.4,3.4,22.3,2755747673,2025Q2
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ",2025-04-01,0.01,0.1,444.2,2755747671,2025Q2
Платежи при пользовании недрами,2025-04-01,0.0001,0.002,2048.5,2755747670,2025Q2
Земельный налог,2025-04-01,29.3,7.9,26.9,2755747669,2025Q2
Плата за негативное воздействие на окружающую среду,2025-04-01,0.2,0.04,25.7,2755747668,2025Q2
