"Revenue type";"Date";"Planned revenue volume";"Actual revenue volume";"Revenue completion rate";"global_id"
"Вид дохода";"Дата";"Планируемый объём дохода";"Фактическое исполнение";"Процент исполнения";"global_id"
"Налог, взимаемый в связи с применением упрощенной системы налогообложения";"01.07.2024";"238.1";"151.6";"63.7";"2696369664"
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.07.2024";"8.2";"3.8";"46.8";"2696369665"
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации";"01.07.2024";"0.001";"1.0E-4";"18.4";"2696369666"
"Единый налог на вмененный доход для отдельных видов деятельности";"01.07.2024";"";"3.0E-5";"";"2696369667"
"ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ";"01.07.2024";"0.2";"0.1";"54.9";"2696369668"
"Безвозмездные поступления";"01.07.2024";"34.5";"52.9";"153.2";"2696369669"
"Единый сельскохозяйственный налог";"01.07.2024";"0.1";"0.05";"80";"2696369670"
"Плата за негативное воздействие на окружающую среду";"01.07.2024";"0.2";"0.1";"51.8";"2696369671"
"Налог, взимаемый в связи с применением патентной системы налогообложения";"01.07.2024";"9.7";"8";"82.5";"2696369672"
"Платежи при пользовании недрами";"01.07.2024";"0.01";"0.01";"116.4";"2696369673"
"ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА";"01.07.2024";"14.4";"7.8";"54.1";"2696369674"
"Торговый сбор";"01.07.2024";"8.5";"4.9";"57.3";"2696369675"
"Доходы от оказания платных услуг (работ)";"01.07.2024";"1.4";"0.9";"63.7";"2696369676"
"Налог на профессиональный доход";"01.07.2024";"11.1";"6.7";"60.9";"2696369677"
"Доходы от компенсации затрат государства";"01.07.2024";"13";"6.9";"53.1";"2696369678"
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»";"01.07.2024";"0.3";"0.3";"96.3";"2696369679"
"ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ";"01.07.2024";"19";"23.8";"125.4";"2696369680"
"НАЛОГИ НА ИМУЩЕСТВО";"01.07.2024";"281.4";"122.5";"43.5";"2696369681"
"Налог на имущество физических лиц";"01.07.2024";"32.2";"2.3";"7.2";"2696369682"
"Налог на имущество организаций";"01.07.2024";"187.4";"100.7";"53.7";"2696369683"
"Транспортный налог";"01.07.2024";"33.3";"7.1";"21.2";"2696369684"
"Налог на игорный бизнес";"01.07.2024";"0.4";"0.1";"29.5";"2696369685"
"Земельный налог";"01.07.2024";"28.1";"12.4";"44";"2696369686"
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ";"01.07.2024";"0.01";"0.01";"66.7";"2696369687"
"Налог на добычу полезных ископаемых";"01.07.2024";"";"-0.001";"";"2696369688"
"Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов";"01.07.2024";"0.01";"0.01";"83.6";"2696369689"
"ГОСУДАРСТВЕННАЯ ПОШЛИНА";"01.07.2024";"4.8";"2.6";"53.7";"2696369690"
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям";"01.07.2024";"1.6";"0";"0";"2696369728"
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями";"01.10.2024";"2.4";"2.5";"105.2";"2703817673"
"Доходы, всего";"01.10.2024";"4331.4";"3562.3";"82.2";"2703817674"
"ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ";"01.10.2024";"19";"34.3";"180.8";"2703817675"
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)";"01.10.2024";"0.1";"0.02";"42.8";"2703817676"
"Налоговые доходы";"01.10.2024";"3981.5";"3105.3";"78";"2703817677"
"Доходы от продажи квартир";"01.10.2024";"4.2";"3.3";"79.2";"2703817678"
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации";"01.10.2024";"0.4";"0.4";"93";"2703817679"
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.10.2024";"8.1";"10.8";"134.4";"2703817680"
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ";"01.10.2024";"3362.3";"2618";"77.9";"2703817681"
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий";"01.10.2024";"1.9";"1.3";"67.1";"2703817682"
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности";"01.10.2024";"2.3";"4.8";"204.5";"2703817683"
"Налог на прибыль организаций";"01.10.2024";"1458.2";"1163.5";"79.8";"2703817684"
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ";"01.10.2024";"";"-0.001";"";"2703817685"
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности";"01.10.2024";"4.4";"15.4";"348.6";"2703817686"
"Налог на доходы физических лиц";"01.10.2024";"1904.1";"1454.5";"76.4";"2703817687"
"Платежи за пользование природными ресурсами";"01.10.2024";"";"1.0E-6";"";"2703817688"
"АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ";"01.10.2024";"0.2";"0.3";"152.4";"2703817689"
"Налоги на имущество";"01.10.2024";"";"-4.0E-4";"";"2703817690"
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ";"01.10.2024";"65.3";"42.3";"64.9";"2703817691"
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций";"01.10.2024";"0.2";"0.3";"152.4";"2703817692"
"Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации)";"01.10.2024";"";"-3.0E-4";"";"2703817693"
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации";"01.10.2024";"65.3";"42.3";"64.9";"2703817694"
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА";"01.10.2024";"46.5";"47.1";"101.3";"2703817695"
"Прочие налоги и сборы (по отмененным местным налогам и сборам)";"01.10.2024";"";"-1.0E-5";"";"2703817696"
"НАЛОГИ НА СОВОКУПНЫЙ ДОХОД";"01.10.2024";"267.7";"243.8";"91.1";"2703817697"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях";"01.10.2024";"25.1";"23.6";"94.2";"2703817698"
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения";"01.10.2024";"";"-2.0E-4";"";"2703817699"
"Налог, взимаемый в связи с применением упрощенной системы налогообложения";"01.10.2024";"238.1";"215.9";"90.7";"2703817700"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию";"01.10.2024";"0.1";"0.05";"83.9";"2703817701"
"Неналоговые доходы";"01.10.2024";"308.1";"384";"124.6";"2703817702"
"Единый налог на вмененный доход для отдельных видов деятельности";"01.10.2024";"";"3.0E-5";"";"2703817703"
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях";"01.10.2024";"11.8";"8.4";"71.2";"2703817704"
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ";"01.10.2024";"188";"217.3";"115.6";"2703817705"
"Единый сельскохозяйственный налог";"01.10.2024";"0.1";"0.1";"136.8";"2703817706"
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям";"01.10.2024";"1.6";"2.3";"142.1";"2703817707"
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации";"01.10.2024";"4.1";"2.5";"61.7";"2703817708"
"Платежи в целях возмещения причиненного ущерба (убытков)";"01.10.2024";"0.1";"0.8";"1286.4";"2703817709"
"Налог, взимаемый в связи с применением патентной системы налогообложения";"01.10.2024";"9.7";"9.5";"97.6";"2703817710"
"Доходы от размещения средств бюджетов";"01.10.2024";"73";"107.4";"147.2";"2703817711"
"Торговый сбор";"01.10.2024";"8.5";"7.4";"87.3";"2703817712"
"Платежи, уплачиваемые в целях возмещения вреда";"01.10.2024";"0.04";"0.03";"69.6";"2703817713"
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.10.2024";"104.8";"101.2";"96.6";"2703817714"
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете";"01.10.2024";"5.2";"11.6";"221.4";"2703817715"
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности";"01.10.2024";"0.004";"0.1";"1725.5";"2703817716"
"Налог на профессиональный доход";"01.10.2024";"11.1";"10.4";"94.5";"2703817717"
"Платежи от государственных и муниципальных унитарных предприятий";"01.10.2024";"0.3";"0.5";"167";"2703817718"
"ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ";"01.10.2024";"39.9";"72";"180.5";"2703817719"
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»";"01.10.2024";"0.3";"0.5";"152.9";"2703817720"
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление";"01.10.2024";"0.1";"0.1";"73.3";"2703817721"
"Невыясненные поступления";"01.10.2024";"";"0.001";"";"2703817722"
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.10.2024";"8.2";"5.8";"70.2";"2703817723"
"Прочие неналоговые доходы";"01.10.2024";"39.9";"72";"180.5";"2703817724"
"НАЛОГИ НА ИМУЩЕСТВО";"01.10.2024";"281.4";"196.8";"69.9";"2703817725"
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации";"01.10.2024";"0.001";"0.001";"116.9";"2703817726"
"ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ";"01.10.2024";"0.2";"0.1";"76.9";"2703817727"
"Налог на имущество физических лиц";"01.10.2024";"32.2";"8.2";"25.4";"2703817728"
"Безвозмездные поступления";"01.10.2024";"41.7";"73.1";"175.1";"2703817729"
"Плата за негативное воздействие на окружающую среду";"01.10.2024";"0.2";"0.1";"73.5";"2703817730"
"Налог на имущество организаций";"01.10.2024";"187.4";"154.7";"82.6";"2703817731"
"Платежи при пользовании недрами";"01.10.2024";"0.01";"0.01";"145.1";"2703817732"
"Транспортный налог";"01.10.2024";"33.3";"14.4";"43.3";"2703817733"
"ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА";"01.10.2024";"14.4";"12.9";"89.1";"2703817734"
"Налог на игорный бизнес";"01.10.2024";"0.4";"0.2";"46.2";"2703817735"
"Доходы от оказания платных услуг (работ)";"01.10.2024";"1.4";"1.3";"94.1";"2703817736"
"Земельный налог";"01.10.2024";"28.1";"19.3";"68.5";"2703817737"
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ";"01.10.2024";"0.01";"0.01";"168.1";"2703817738"
"Доходы от компенсации затрат государства";"01.10.2024";"13";"11.5";"88.5";"2703817739"
"Налог на добычу полезных ископаемых";"01.10.2024";"";"0.003";"";"2703817740"
"Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов";"01.10.2024";"0.01";"0.01";"129.6";"2703817741"
"ГОСУДАРСТВЕННАЯ ПОШЛИНА";"01.10.2024";"4.8";"4.2";"88.1";"2703817742"
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями";"01.01.2025";"2.4";"4.6";"190.9";"2724176391"
"ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ";"01.01.2025";"19";"43.9";"231.7";"2724176392"
"Доходы, всего";"01.01.2025";"4342.5";"5170.2";"119.1";"2724176393"
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)";"01.01.2025";"0.1";"0.03";"57.9";"2724176394"
"Доходы от продажи квартир";"01.01.2025";"4.2";"4.7";"113.4";"2724176395"
"Налоговые доходы";"01.01.2025";"3981.5";"4487.9";"112.7";"2724176396"
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации";"01.01.2025";"0.4";"0.5";"112";"2724176397"
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.01.2025";"8.1";"12.7";"157.5";"2724176398"
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ";"01.01.2025";"3362.3";"3795";"112.9";"2724176399"
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий";"01.01.2025";"1.9";"1.8";"94.2";"2724176400"
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности";"01.01.2025";"2.3";"7.7";"332.8";"2724176401"
"Налог на прибыль организаций";"01.01.2025";"1458.2";"1599.2";"109.7";"2724176402"
"Плата за увеличение площади земельных участков, находящихся в частной собственности, в результате перераспределения таких земельных участков и земель (или) земельных участков, находящихся в государственной или муниципальной собственности";"01.01.2025";"";"0.01";"";"2724176403"
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ";"01.01.2025";"";"-0.001";"";"2724176404"
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности";"01.01.2025";"4.4";"18.8";"425.3";"2724176405"
"Налог на доходы физических лиц";"01.01.2025";"1904.1";"2195.7";"115.3";"2724176406"
"АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ";"01.01.2025";"0.2";"0.4";"191.5";"2724176407"
"Платежи за пользование природными ресурсами";"01.01.2025";"";"1.0E-6";"";"2724176408"
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций";"01.01.2025";"0.2";"0.4";"191.5";"2724176409"
"Налоги на имущество";"01.01.2025";"";"-1.0E-4";"";"2724176410"
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА";"01.01.2025";"46.5";"66.5";"143.2";"2724176411"
"Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации)";"01.01.2025";"";"-3.0E-4";"";"2724176412"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях";"01.01.2025";"25.1";"31.2";"124.3";"2724176413"
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ";"01.01.2025";"65.3";"63.8";"97.7";"2724176414"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию";"01.01.2025";"0.1";"0.1";"122.4";"2724176415"
"Прочие налоги и сборы (по отмененным местным налогам и сборам)";"01.01.2025";"";"-1.0E-5";"";"2724176416"
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях";"01.01.2025";"11.8";"12.7";"107.4";"2724176417"
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения";"01.01.2025";"";"-2.0E-4";"";"2724176418"
"Неналоговые доходы";"01.01.2025";"308.1";"588";"190.8";"2724176419"
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации";"01.01.2025";"65.3";"63.8";"97.7";"2724176420"
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации";"01.01.2025";"4.1";"3.7";"88.8";"2724176421"
"НАЛОГИ НА СОВОКУПНЫЙ ДОХОД";"01.01.2025";"267.7";"319.2";"119.2";"2724176422"
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ";"01.01.2025";"188";"365.7";"194.5";"2724176423"
"Налог, взимаемый в связи с применением упрощенной системы налогообложения";"01.01.2025";"238.1";"283.8";"119.2";"2724176424"
"Единый налог на вмененный доход для отдельных видов деятельности";"01.01.2025";"";"1.0E-4";"";"2724176425"
"Платежи в целях возмещения причиненного ущерба (убытков)";"01.01.2025";"0.1";"0.8";"1363.5";"2724176426"
"Единый сельскохозяйственный налог";"01.01.2025";"0.1";"0.1";"132.4";"2724176427"
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям";"01.01.2025";"1.6";"2.5";"152.6";"2724176428"
"Платежи, уплачиваемые в целях возмещения вреда";"01.01.2025";"0.04";"0.1";"118.5";"2724176429"
"Доходы от размещения средств бюджетов";"01.01.2025";"73";"206.4";"283";"2724176430"
"Налог, взимаемый в связи с применением патентной системы налогообложения";"01.01.2025";"9.7";"9.4";"97.3";"2724176431"
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете";"01.01.2025";"5.2";"18.1";"343.9";"2724176432"
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.01.2025";"104.8";"147.4";"140.6";"2724176433"
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности";"01.01.2025";"0.004";"0.03";"585.1";"2724176434"
"Торговый сбор";"01.01.2025";"8.5";"10";"117.3";"2724176435"
"ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ";"01.01.2025";"39.9";"91.2";"228.7";"2724176436"
"Налог на профессиональный доход";"01.01.2025";"11.1";"15.1";"136.8";"2724176437"
"Невыясненные поступления";"01.01.2025";"";"0.01";"";"2724176438"
"Платежи от государственных и муниципальных унитарных предприятий";"01.01.2025";"0.3";"0.5";"167";"2724176439"
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»";"01.01.2025";"0.3";"0.7";"219.8";"2724176440"
"Прочие неналоговые доходы";"01.01.2025";"39.9";"91.2";"228.7";"2724176441"
"НАЛОГИ НА ИМУЩЕСТВО";"01.01.2025";"281.4";"303";"107.7";"2724176442"
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление";"01.01.2025";"0.1";"0.1";"73.3";"2724176444"
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.01.2025";"8.2";"8.8";"107.5";"2724176445"
"Налог на имущество физических лиц";"01.01.2025";"32.2";"33.6";"104.3";"2724176446"
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации";"01.01.2025";"0.001";"0.001";"185.7";"2724176447"
"Налог на имущество организаций";"01.01.2025";"187.4";"206.9";"110.4";"2724176448"
"ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ";"01.01.2025";"0.2";"0.2";"98.9";"2724176449"
"Транспортный налог";"01.01.2025";"33.3";"35.2";"105.6";"2724176450"
"Безвозмездные поступления";"01.01.2025";"52.8";"94.3";"178.4";"2724176451"
"Плата за негативное воздействие на окружающую среду";"01.01.2025";"0.2";"0.2";"95";"2724176452"
"Налог на игорный бизнес";"01.01.2025";"0.4";"0.2";"63.2";"2724176453"
"Платежи при пользовании недрами";"01.01.2025";"0.01";"0.01";"178.5";"2724176454"
"Земельный налог";"01.01.2025";"28.1";"27.1";"96.2";"2724176455"
"ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА";"01.01.2025";"14.4";"20";"138.5";"2724176456"
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ";"01.01.2025";"0.01";"0.02";"254.5";"2724176457"
"Доходы от оказания платных услуг (работ)";"01.01.2025";"1.4";"1.8";"127.9";"2724176458"
"Налог на добычу полезных ископаемых";"01.01.2025";"";"0.01";"";"2724176459"
"Доходы от компенсации затрат государства";"01.01.2025";"13";"18.2";"139.6";"2724176460"
"Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов";"01.01.2025";"0.01";"0.01";"183.5";"2724176461"
"ГОСУДАРСТВЕННАЯ ПОШЛИНА";"01.01.2025";"4.8";"6.9";"143.5";"2724176462"
"Доходы, всего";"01.04.2025";"5160.5";"1227.8";"23.8";"2755747609"
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями";"01.04.2025";"3.2";"2";"62.7";"2755747610"
"Доходы от продажи квартир";"01.04.2025";"5.6";"1";"17.6";"2755747611"
"Налоговые доходы";"01.04.2025";"4661.3";"1055.1";"22.6";"2755747612"
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)";"01.04.2025";"0.04";"0.02";"62.4";"2755747613"
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.04.2025";"9.1";"2.5";"26.9";"2755747614"
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ";"01.04.2025";"3911.4";"914.6";"23.4";"2755747615"
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации";"01.04.2025";"0.6";"0.1";"18.5";"2755747616"
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности";"01.04.2025";"5.6";"0.8";"14.1";"2755747617"
"Налог на прибыль организаций";"01.04.2025";"1581.5";"491.6";"31.1";"2755747618"
"Плата за увеличение площади земельных участков, находящихся в частной собственности, в результате перераспределения таких земельных участков и земель (или) земельных участков, находящихся в государственной или муниципальной собственности";"01.04.2025";"";"0.4";"";"2755747619"
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий";"01.04.2025";"2";"0.6";"29.3";"2755747620"
"Налог на доходы физических лиц";"01.04.2025";"2329.9";"423.1";"18.2";"2755747621"
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности";"01.04.2025";"16.1";"4.5";"28";"2755747622"
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ";"01.04.2025";"";"-2.0E-4";"";"2755747623"
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ";"01.04.2025";"73.6";"14.9";"20.2";"2755747624"
"АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ";"01.04.2025";"0.2";"0.04";"16.4";"2755747625"
"Налоги на имущество";"01.04.2025";"";"-4.0E-4";"";"2755747626"
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций";"01.04.2025";"0.2";"0.04";"16.4";"2755747627"
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации";"01.04.2025";"73.6";"14.9";"20.2";"2755747628"
"НАЛОГИ НА СОВОКУПНЫЙ ДОХОД";"01.04.2025";"362.7";"54.2";"14.9";"2755747630"
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА";"01.04.2025";"60";"15.7";"26.1";"2755747631"
"Налог, взимаемый в связи с применением упрощенной системы налогообложения";"01.04.2025";"321.4";"41.8";"13";"2755747632"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях";"01.04.2025";"25.5";"5.6";"22";"2755747633"
"Прочие налоги и сборы (по отмененным местным налогам и сборам)";"01.04.2025";"";"1.0E-5";"";"2755747634"
"Единый налог на вмененный доход для отдельных видов деятельности";"01.04.2025";"";"-1.0E-4";"";"2755747635"
