"Revenue type";"Date";"Planned revenue volume";"Actual revenue volume";"Revenue completion rate";"global_id"
"Вид дохода";"Дата";"Планируемый объём дохода";"Фактическое исполнение";"Процент исполнения";"global_id"
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ";"01.01.2024";"2929.8";"3188.8";"108.8";"2687941991"
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)";"01.01.2024";"";"0.1";"";"2687941992"
"ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ";"01.01.2024";"20.9";"36";"172.3";"2687941993"
"Налог на прибыль организаций";"01.01.2024";"1213";"1444.8";"119.1";"2687941994"
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации";"01.01.2024";"0.3";"0.4";"117.8";"2687941995"
"Доходы от продажи квартир";"01.01.2024";"3.9";"4.7";"119.5";"2687941996"
"Налог на доходы физических лиц";"01.01.2024";"1716.8";"1744";"101.6";"2687941997"
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий";"01.01.2024";"2.2";"2.5";"115";"2687941998"
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.01.2024";"8.2";"10.8";"131.7";"2687941999"
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ";"01.01.2024";"62.5";"63.2";"101.1";"2687942000"
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности";"01.01.2024";"1.8";"4.5";"253.3";"2687942001"
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ";"01.01.2024";"";"0.004";"";"2687942002"
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации";"01.01.2024";"62.5";"63.2";"101.1";"2687942003"
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности";"01.01.2024";"6.9";"15.9";"229.6";"2687942004"
"НАЛОГИ НА СОВОКУПНЫЙ ДОХОД";"01.01.2024";"234.8";"225.5";"96";"2687942005"
"Налог на прибыль организаций, зачислявшийся до 1 января 2005 года в местные бюджеты";"01.01.2024";"";"-3.0E-6";"";"2687942006"
"АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ";"01.01.2024";"0.2";"0.3";"125.9";"2687942007"
"Налог, взимаемый в связи с применением упрощенной системы налогообложения";"01.01.2024";"210.7";"202";"95.9";"2687942008"
"Платежи за пользование природными ресурсами";"01.01.2024";"";"-1.0E-6";"";"2687942009"
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций";"01.01.2024";"0.2";"0.3";"125.9";"2687942010"
"Единый налог на вмененный доход для отдельных видов деятельности";"01.01.2024";"";"-0.002";"";"2687942011"
"Налоги на имущество";"01.01.2024";"";"0.003";"";"2687942012"
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА";"01.01.2024";"41.9";"49.4";"118";"2687942013"
"Единый сельскохозяйственный налог";"01.01.2024";"0.04";"0.1";"138.5";"2687942014"
"Прочие налоги и сборы (по отмененным федеральным налогам и сборам)";"01.01.2024";"";"-2.0E-6";"";"2687942015"
"Налог, взимаемый в связи с применением патентной системы налогообложения";"01.01.2024";"9.1";"4.6";"50.5";"2687942016"
"Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации)";"01.01.2024";"";"0.001";"";"2687942017"
"Торговый сбор";"01.01.2024";"8";"8.1";"101.4";"2687942018"
"Прочие налоги и сборы (по отмененным местным налогам и сборам)";"01.01.2024";"";"4.0E-4";"";"2687942019"
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения";"01.01.2024";"";"-0.001";"";"2687942020"
"Неналоговые доходы";"01.01.2024";"266.5";"382.7";"143.6";"2687942021"
"Доходы от продажи квартир";"01.04.2024";"4.2";"1.1";"27.5";"2695056103"
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями";"01.04.2024";"2.4";"0.7";"29";"2695056104"
"Доходы, всего";"01.04.2024";"4322.2";"1118.4";"25.9";"2695056105"
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)";"01.04.2024";"0.1";"0.01";"12.8";"2695056106"
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.04.2024";"8.1";"4.3";"53.1";"2695056107"
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации";"01.04.2024";"0.4";"0.1";"28.1";"2695056108"
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности";"01.04.2024";"2.3";"1.5";"65.3";"2695056109"
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий";"01.04.2024";"1.9";"0.4";"21.2";"2695056110"
"Налоговые доходы";"01.04.2024";"3981.5";"967.4";"24.3";"2695056111"
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности";"01.04.2024";"4.4";"6.3";"142.2";"2695056112"
"АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ";"01.04.2024";"0.2";"0.2";"74.9";"2695056113"
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ";"01.04.2024";"";"-3.0E-4";"";"2695056114"
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций";"01.04.2024";"0.2";"0.2";"74.9";"2695056115"
"Налоги на имущество";"01.04.2024";"";"-2.0E-4";"";"2695056116"
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ";"01.04.2024";"3362.3";"842.3";"25.1";"2695056117"
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА";"01.04.2024";"46.5";"12.9";"27.8";"2695056118"
"Налог на прибыль организаций";"01.04.2024";"1458.2";"454.2";"31.2";"2695056119"
"Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации)";"01.04.2024";"";"1.0E-5";"";"2695056120"
"Налог на доходы физических лиц";"01.04.2024";"1904.1";"388.1";"20.4";"2695056121"
